TEXT,SYMBOL,PAPER,SECTION,NOTE
COL3A1,COL3A1,MSB2017,Fig4,
NGFR,NGFR,MSB2017,Fig4,
CNTN6,CNTN6,MSB2017,Fig4,
CCNE2,CCNE2,MSB2017,Fig4,
CDC20,CDC20,MSB2017,Fig4,
BUB1,BUB1,MSB2017,Fig4,
AURKA,AURKA,MSB2017,Fig4,
CCNB1,CCNB1,MSB2017,Fig4,
CCNB2,CCNB2,MSB2017,Fig4,
CDK1,CDK1,MSB2017,Fig4,
PLK1,PLK1,MSB2017,Fig4,
E2F1,E2F1,MSB2017,Fig4,
CDC6,CDC6,MSB2017,Fig4,
AURKB,AURKB,MSB2017,Fig4,
FYN,FYN,MSB2017,Fig4,
NCAM1,NCAM1,MSB2017,Fig4,
ROCK2,ROCK2,MSB2017,Fig4,
BCL2,BCL2,MSB2017,Fig4,
FN1,FN1,MSB2017,Fig4,
TPM1,TPM1,MSB2017,Fig4,
CCND1,CCND1,MSB2017,Fig4,
CDC25A,CDC25A,MSB2017,Fig4,
POLA2,POLA2,MSB2017,Fig4,
E2F8,E2F8,MSB2017,Fig4,
CCNA2,CCNA2,MSB2017,Fig4,
CDC25C,CDC25C,MSB2017,Fig4,
MCM2,MCM2,MSB2017,Fig4,
MCM3,MCM3,MSB2017,Fig4,
CDT1,CDT1,MSB2017,Fig4,
GMNN,GMNN,MSB2017,Fig4,
POLA1,POLA1,MSB2017,Fig4,
E2F2,E2F2,MSB2017,Fig4,
E2F7,E2F7,MSB2017,Fig4,
THBS1,THBS1,MSB2017,Fig6A,
NOV,NOV,MSB2017,Fig6A,
CYR61,CYR61,MSB2017,Fig6A,
CXCL1,CXCL1,MSB2017,Fig6A,
APOE,APOE,MSB2017,Fig6A,
TGFB2,TGFB2,MSB2017,Fig6A,
A2M,A2M,MSB2017,Fig6A,
PGF,PGF,MSB2017,Fig6A,
LAMC1,LAMC1,MSB2017,Fig6A,
FN1,FN1,MSB2017,Fig6A,
VTN,VTN,MSB2017,Fig6A,
PROS1,PROS1,MSB2017,Fig6A,
KITLG,KITLG,MSB2017,Fig6A,
TNC,TNC,MSB2017,Fig6A,
LAMA1,LAMA1,MSB2017,Fig6A,
OSGIN1,OSGIN1,MSB2017,Fig6A,
FBN1,FBN1,MSB2017,Fig6A,
CTGF,CTGF,MSB2017,Fig6A,
PDGFC,PDGFC,MSB2017,Fig6A,
DBI,DBI,MSB2017,Fig6A,
AP1,JUN,MSB2017,Fig6B,transcription factor family
AP1,JUNB,MSB2017,Fig6B,transcription factor family
AP1,JUND,MSB2017,Fig6B,transcription factor family
AP1,FOS,MSB2017,Fig6B,transcription factor family
AP1,FOSB,MSB2017,Fig6B,transcription factor family
AP1,FOSL1,MSB2017,Fig6B,transcription factor family
AP1,FOSL2,MSB2017,Fig6B,transcription factor family
NGFR,NGFR,MSB2017,Fig6B,
SEMA3D,SEMA3D,MSB2017,Fig6B,
IL1RAP,IL1RAP,MSB2017,Fig6B,
PTPRZ1,PTPRZ1,MSB2017,Fig6B,
ITGA1,ITGA1,MSB2017,Fig6B,
SEMA3B,SEMA3B,MSB2017,Fig6B,
HMMR,HMMR,MSB2017,Fig6B,
ITGA4,ITGA4,MSB2017,Fig6B,
TNFRSF12A,TNFRSF12A,MSB2017,Fig6B,
TNFRSF21,TNFRSF21,MSB2017,Fig6B,
FAS,FAS,MSB2017,Fig6B,
PLXNB3,PLXNB3,MSB2017,Fig6B,
SEMA3E,SEMA3E,MSB2017,Fig6B,
ADRA2A,ADRA2A,MSB2017,Fig6B,
TSPAN7,TSPAN7,MSB2017,Fig6B,
LPAR1,LPAR1,MSB2017,Fig6B,
SPSB1,SPSB1,MSB2017,Fig6B,
EDNRB,EDNRB,MSB2017,Fig6B,
AP1,JUN,MSB2017,Fig6D,transcription factor family
AP1,JUNB,MSB2017,Fig6D,transcription factor family
AP1,JUND,MSB2017,Fig6D,transcription factor family
AP1,FOS,MSB2017,Fig6D,transcription factor family
AP1,FOSB,MSB2017,Fig6D,transcription factor family
AP1,FOSL1,MSB2017,Fig6D,transcription factor family
AP1,FOSL2,MSB2017,Fig6D,transcription factor family
BACH1,BACH1,MSB2017,Fig6D,
BACH2,BACH2,MSB2017,Fig6D,
SOX9,SOX9,MSB2017,Fig6D,
HMX1,HMX1,MSB2017,Fig6D,
RFX1,RFX1,MSB2017,Fig6D,
GATA1,GATA1,MSB2017,Fig6D,
TCF11MAFG,HNF1B,MSB2017,Fig6D,GeneRIF Biological Term Anootations
TCF11MAFG,MAFG,MSB2017,Fig6D,GeneRIF Biological Term Anootations
TCF11MAFG,NOS2,MSB2017,Fig6D,GeneRIF Biological Term Anootations
TCF11MAFG,SMAD7,MSB2017,Fig6D,GeneRIF Biological Term Anootations
TCF11MAFG,TGFB1,MSB2017,Fig6D,GeneRIF Biological Term Anootations
SREBP1,SREBF1,MSB2017,Fig6D,
JUN,JUN,MSB2017,Fig6E,
JUNB,JUNB,MSB2017,Fig6E,
JUND,JUND,MSB2017,Fig6E,
FOS,FOS,MSB2017,Fig6E,
FOSB,FOSB,MSB2017,Fig6E,
FOSL1,FOSL1,MSB2017,Fig6E,
FOSL2,FOSL2,MSB2017,Fig6E,
ATF1,ATF1,MSB2017,Fig6E,
ATF2,ATF2,MSB2017,Fig6E,
ATF3,ATF3,MSB2017,Fig6E,
ATF4,ATF4,MSB2017,Fig6E,
ATF5,ATF5,MSB2017,Fig6E,
ATF6,ATF6,MSB2017,Fig6E,
ATF7,ATF7,MSB2017,Fig6E,
BACH1,BACH1,MSB2017,Fig6E,
BACH2,BACH2,MSB2017,Fig6E,
E2F1,E2F1,MSB2017,Fig6E,
E2F2,E2F2,MSB2017,Fig6E,
E2F3,E2F3,MSB2017,Fig6E,
E2F4,E2F4,MSB2017,Fig6E,
E2F5,E2F5,MSB2017,Fig6E,
E2F6,E2F6,MSB2017,Fig6E,
E2F7,E2F7,MSB2017,Fig6E,
E2F8,E2F8,MSB2017,Fig6E,
SOX9,SOX9,MSB2017,Fig6E,
HMX1,HMX1,MSB2017,Fig6E,
RFX1,RFX1,MSB2017,Fig6E,
GATA1,GATA1,MSB2017,Fig6E,
NFE2L1,NFE2L1,MSB2017,Fig6E,
MAFG,MAFG,MSB2017,Fig6E,
SREBF1,SREBF1,MSB2017,Fig6E,
